2026-05-26 21:09:48 | INFO | data_feed | MT5 feed initialized for XAUUSD
2026-05-26 21:09:52 | INFO | __main__ | 127.0.0.1 - "GET / HTTP/1.1" 200 -
2026-05-26 21:10:04 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:05 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:10 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:18 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:18 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:19 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:22 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:25 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:25 | INFO | __main__ | 127.0.0.1 - code 404, message Not found
2026-05-26 21:10:25 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:28 | INFO | __main__ | 127.0.0.1 - "GET /favicon.ico HTTP/1.1" 404 -
2026-05-26 21:10:29 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:30 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:31 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:32 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:34 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:34 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:36 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:39 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:39 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:43 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:43 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:45 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:46 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:47 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:47 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:48 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:49 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:49 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:50 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:51 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:53 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:53 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:53 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:55 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:56 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:57 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
2026-05-26 21:10:57 | INFO | __main__ | 127.0.0.1 - "GET /api/trades HTTP/1.1" 200 -
2026-05-26 21:10:59 | INFO | __main__ | 127.0.0.1 - "GET /api/state HTTP/1.1" 200 -
